Tl_x_cFTLD	Tl_y_cFTLD	w_cFTLD	h_cFTLD	dx_cfTLD	dy_cfTLD	dw_cfTLD	dh_cfTLD	Tl_x_CMT	Tl_y_CMT	w_CMT	h_CMT	dx_CMT	dy_CMT	dw_CMT	dh_CMT	Tl_x_ST	Tl_y_ST	w_ST	h_ST	dx_ST	dy_ST	dw_ST	dh_ST	Tl_x_GT	Tl_y_GT	w_GT	h_GT	dx_GT	dy_GT	dw_GT	dh_GT	Tl_x	Tl_y	w	h	cFTLD_cov	CMT_cov	STRUCK_cov
309	224	54	90	-3.59923e-07	-1.03892e-05	1.54476e-06	3.10442e-06	261	180	95	155	0.00713782	-0.148759	0.198875	0.17898	241	182	48	80	-1.13764e-05	1.37983e-05	0	0	305	245	55	65	-0.396901	6.78283	-0.409853	1.29641	303	226	58	89	10.002	141.096	3075.8
309	224	54	90	-8.57766e-06	1.4264e-05	5.17542e-07	1.04998e-06	264	176	96	159	0.207726	-0.119876	0.0454187	0.248426	246	176	48	80	-5.51355e-05	5.48322e-05	0	0	305	247	55	67	0.00779797	5.24607	-0.129599	1.7345	306	230	56	85	10.0018	225.251	2882.5
308	223	54	90	-8.57766e-06	1.4264e-05	-2.0505e-06	-4.0861e-06	266	175	97	159	0.193975	-0.127689	0.0622966	-0.0187787	256	171	48	80	-0.000120947	5.48418e-05	0	0	305	249	55	69	0.130391	4.04928	0.0117382	1.61165	308	231	55	84	10.0019	206.226	2160.24
309	224	54	90	-1.67954e-05	-1.44981e-05	-1.02328e-06	-2.03167e-06	272	175	94	156	0.203203	-0.0445151	-0.114562	-0.113847	267	169	48	80	-0.000153635	2.74494e-05	0	0	306	249	55	70	0.122464	2.48542	0.0618385	1.35832	307	231	55	85	10.0017	101.05	1103.66
309	224	54	90	-1.67954e-05	1.83729e-05	-1.02328e-06	-2.03167e-06	280	176	91	152	0.307019	-0.0484893	-0.155091	-0.20865	279	170	48	80	-0.000175463	2.79338e-06	0	0	306	249	55	70	0.0768984	1.48736	0.0637541	0.801755	305	226	58	89	10.0017	37.7865	350.392
308	223	53	89	3.74895e-06	1.01551e-05	-1.02328e-06	-2.03167e-06	286	178	89	148	0.24329	0.00510383	-0.0937236	-0.198765	293	171	48	80	-0.000191638	-1.63877e-05	0	0	306	249	56	71	0.0357153	0.976925	0.0469638	0.699152	303	220	61	96	10.0016	20.6853	119.259
308	223	53	89	1.19667e-05	-1.44981e-05	3.93277e-09	2.27667e-08	291	180	88	145	0.316016	0.000651582	-0.0569619	-0.184263	306	171	48	80	-0.000208099	-5.42945e-06	0	0	306	249	56	71	0.0103974	0.515983	0.0277289	0.421286	302	215	63	100	10.0016	15.9117	74.7532
308	224	53	89	1.60756e-05	1.93738e-06	5.17542e-07	1.04998e-06	296	179	88	144	0.248147	-0.0550671	0.00549682	-0.038624	318	171	48	80	-7.12034e-05	-5.42945e-06	0	0	306	249	56	71	0.350872	0.475032	0.0128542	0.186941	303	212	65	102	10.0016	15.9395	74.7548
309	223	53	89	1.19667e-05	1.4264e-05	1.54476e-06	3.10442e-06	301	178	89	147	0.318611	0.00429433	0.000825224	0.145187	329	170	48	80	-0.000147988	1.37524e-05	0	0	307	249	56	71	0.332827	0.329091	0.00371041	0.0485571	306	217	63	98	10.0017	19.9109	133.73
309	223	54	90	-1.67954e-05	1.4264e-05	-1.02328e-06	-2.03167e-06	305	176	91	151	0.318691	0.00120197	0.137853	0.268104	342	167	48	80	0.00014225	-2.18608e-05	0	0	307	249	56	71	0.210094	0.183628	-0.000758808	-0.0113942	307	224	61	92	10.0017	40.1725	406.967
308	223	54	90	-4.46879e-06	-6.28036e-06	-2.0505e-06	-4.0861e-06	309	172	94	158	0.301488	-0.000190971	0.154798	0.307786	354	166	48	80	-0.000170139	1.64859e-05	0	0	307	249	56	71	0.0981345	0.0783037	-0.00223632	-0.0259544	308	231	57	86	10.0017	156.496	1214.34
308	224	54	90	-4.46879e-06	-2.17149e-06	-2.0505e-06	-4.0861e-06	313	171	98	162	0.296504	0.0549157	0.203114	0.241855	367	165	48	80	-0.0001919	1.64877e-05	0	0	307	250	55	70	0.0289159	0.291753	-0.00217974	-0.0213275	308	235	55	82	10.0018	579.415	2843.84
308	224	53	89	7.85782e-06	1.83729e-05	-5.09676e-07	-1.00445e-06	326	264	17	26	-1.57735	1.56199	-5.84163	-9.81213	382	169	48	80	-0.000218988	-4.09899e-05	0	0	307	250	55	70	-0.00270725	0.292147	-0.00156044	-0.0123878	310	241	49	72	10.0018	21.1669	3729.84
309	223	54	90	-3.59923e-07	1.83729e-05	1.54476e-06	3.10442e-06	325	252	27	42	0.0990777	-0.0800453	0.195242	0.329864	396	173	48	80	-8.19518e-05	-2.45256e-05	0	0	307	250	55	70	0.340432	0.212047	-0.000898177	-0.00525813	314	242	44	67	10.0018	10.0521	3957.78
309	223	54	90	-1.26865e-05	-2.17149e-06	3.93277e-09	2.27667e-08	324	250	29	46	0.027295	-0.0286681	0.116639	0.195744	410	178	48	80	-0.000186055	-7.09945e-05	0	0	308	251	55	70	0.326887	0.398277	-0.000402528	-0.0012005	314	243	44	66	10.002	10.0187	4002.04
309	223	53	89	1.60756e-05	1.01551e-05	1.03115e-06	2.0772e-06	325	249	27	47	-0.00475441	-0.0645916	-0.0840875	0.0436961	423	185	48	80	-9.27993e-05	-4.08567e-05	0	0	309	251	55	71	0.559613	0.633824	-0.274801	0.352457	315	242	43	66	10.002	10.0243	4008.65
309	223	54	90	-8.57766e-06	1.93738e-06	5.17542e-07	1.04998e-06	324	249	29	46	-0.000195841	0.00455715	0.0720009	-0.00649867	432	191	48	80	9.89481e-05	6.87051e-05	0	0	309	252	55	72	0.434721	0.823281	-0.302842	0.337937	315	242	44	67	10.0022	10.0221	4009.63
309	224	54	90	-8.57766e-06	-1.03892e-05	5.17542e-07	1.04998e-06	324	249	29	46	0.000118666	0.00108148	-0.00262905	-0.000415816	437	197	48	80	-3.24776e-05	-4.08788e-05	0	0	309	252	54	72	0.243027	0.668613	-0.230232	0.566472	315	241	43	68	10.0021	10.0251	4009.8
308	224	53	89	1.19667e-05	-1.8607e-05	3.93277e-09	2.27667e-08	324	251	28	45	-4.63481e-06	0.0977478	-0.00238356	-0.0977143	433	203	48	80	5.51692e-05	-9.01909e-05	0	0	310	253	54	73	0.450092	0.701291	-0.139594	0.437866	315	241	44	68	10.0023	10.0294	4009.43
308	223	54	90	-8.57766e-06	-2.17149e-06	-2.0505e-06	-4.0861e-06	324	251	28	45	-8.20876e-06	-0.000710849	0.00016801	0.000691215	423	208	48	80	5.52341e-05	-3.53765e-05	0	0	310	253	54	73	0.355803	0.795675	-0.067051	0.595893	315	242	45	69	10.0024	10.0346	4006.01
308	224	54	90	-4.46879e-06	-1.03892e-05	-2.0505e-06	-4.0861e-06	325	250	27	46	9.66097e-06	-0.0021851	-0.0548772	0.00218445	408	210	48	80	9.89475e-05	-1.34677e-05	0	0	311	254	54	74	0.55334	0.887411	-0.295959	0.435095	315	241	44	69	10.0027	10.0416	3931.08
309	223	54	90	-1.67954e-05	6.04625e-06	-1.02328e-06	-2.03167e-06	324	250	29	46	7.874e-06	0.000209442	0.0598867	-0.000214111	392	208	48	80	0.000109781	1.11884e-05	0	0	312	255	54	74	0.419758	0.95295	-0.301024	0.232146	315	242	44	69	10.0031	10.0376	2811.09
309	224	54	90	-4.46879e-06	1.93738e-06	1.03115e-06	2.0772e-06	324	251	29	45	-9.99573e-06	2.89579e-05	-0.00416652	-3.09463e-05	375	207	48	80	-0.000750304	-4.08744e-05	0	0	312	257	53	74	0.230632	1.2653	-0.494941	0.0875785	316	241	44	69	10.004	10.0406	365.139
308	224	53	89	-3.59923e-07	1.93738e-06	-1.53689e-06	-3.05889e-06	325	251	27	46	-2.84784e-06	-1.21425e-05	-0.0555799	6.58011e-06	360	206	48	80	0.000104273	1.11824e-05	0	0	312	258	52	74	0.0908839	1.31028	-0.432146	0.0119767	318	241	44	69	10.0049	10.0507	36.5759
309	224	53	89	1.19667e-05	1.01551e-05	1.54476e-06	3.10442e-06	323	248	30	48	1.50219e-05	-0.0690251	0.143195	0.13805	346	208	48	80	-0.000169596	8.45546e-06	0	0	312	260	52	74	0.0156071	1.24201	-0.289746	-0.0156559	321	238	45	70	10.0059	10.0365	12.1891
309	223	54	90	3.74895e-06	6.04625e-06	2.05837e-06	4.13164e-06	323	250	28	45	-0.0690193	0.00429625	-0.0767994	-0.146637	334	206	48	80	-0.000141896	-7.99352e-06	0	0	312	262	52	73	-0.0132017	1.42448	-0.156428	-0.370683	322	235	44	69	10.0077	10.0641	10.3963
309	224	53	89	1.19667e-05	-6.28036e-06	1.54476e-06	3.10442e-06	324	254	24	38	-0.0499363	0.0557254	-0.216479	-0.321168	325	204	48	80	-9.80622e-05	-2.1706e-05	0	0	312	263	52	73	-0.0174769	1.37672	-0.0631581	0.00180715	320	234	42	67	10.0039	10.2671	10.1869
309	224	54	90	-1.26865e-05	1.93738e-06	3.93277e-09	2.27667e-08	320	261	20	32	-0.339347	0.201914	-0.254997	-0.382284	315	201	48	80	7.17395e-05	1.39501e-05	0	0	312	264	52	73	-0.0126432	1.25523	-0.0106184	0.11654	317	236	42	66	10.0036	10.9026	10.1708
309	223	54	90	-1.26865e-05	6.04625e-06	3.93277e-09	2.27667e-08	321	260	20	33	0.025222	-0.0154319	0.0217401	0.0325267	306	198	48	80	-9.83528e-05	-3.81038e-05	0	0	312	262	52	74	-0.358682	0.0404962	-0.262574	0.463036	314	235	41	65	10.006	10.6701	10.3043
309	224	53	89	1.19667e-05	1.83729e-05	1.54476e-06	3.10442e-06	322	259	22	34	0.0748284	-0.00340735	0.0730544	0.00604737	297	194	48	80	6.05566e-05	2.48892e-05	0	0	311	261	52	75	-0.691595	-0.42893	-0.285507	0.407376	311	234	41	64	10.0069	10.5254	11.0093
309	223	54	90	-3.59923e-07	1.93738e-06	1.54476e-06	3.10442e-06	321	259	20	35	-0.0743463	0.000618702	-0.0741494	0.0677815	288	189	48	80	5.50632e-05	3.57379e-05	0	0	311	260	51	75	-0.199299	-0.488215	-0.215732	0.598726	309	234	40	65	10.0059	10.561	15.1751
308	224	54	90	1.60878e-05	-6.28036e-06	2.05837e-06	4.13164e-06	320	258	22	36	0.00304926	2.00655e-05	0.0721022	0.0647055	281	185	48	80	-7.64678e-05	-4.64608e-05	0	0	311	259	51	76	0.0233303	-0.376469	-0.130145	0.447254	309	237	40	65	10.0056	10.4294	28.5705
307	223	53	89	1.60878e-05	1.01551e-05	2.05837e-06	4.13164e-06	320	258	22	36	0.00101926	-1.0313e-05	-0.00396175	-0.00576519	275	182	48	80	-5.9982e-05	-2.99892e-05	0	0	311	259	51	76	0.0840738	-0.230897	-0.0621029	0.242917	310	241	41	66	10.0056	10.4516	68.7084
308	223	54	90	-8.56547e-06	6.04625e-06	-1.02328e-06	-2.03167e-06	321	257	21	35	-0.000186952	-0.0549186	-0.000999956	-0.0006263	271	180	48	80	2.77018e-05	1.38509e-05	0	0	312	259	51	76	0.0732893	-0.112545	-0.294067	0.446107	311	243	41	66	10.0054	10.514	137.608
307	223	53	89	-3.47728e-07	1.93738e-06	3.93277e-09	2.27667e-08	323	262	18	31	0.0690243	0.143035	-0.265611	-0.334628	267	179	48	80	2.76224e-05	1.11284e-05	0	0	312	258	51	77	0.0441474	-0.311668	-0.300806	0.352019	313	246	41	67	10.0048	11.1979	249.31
308	224	54	90	-1.67832e-05	1.01551e-05	-2.0505e-06	-4.0861e-06	322	262	20	31	-0.00428627	-0.00776934	0.0764501	0.0117083	263	178	48	80	5.4992e-05	1.65968e-05	0	0	312	257	50	77	0.0195815	-0.575876	-0.495414	0.550953	314	246	40	66	10.004	10.9274	454.709
307	224	53	89	3.76114e-06	1.83729e-05	5.17542e-07	1.04998e-06	323	261	18	32	-0.00081418	-0.00178656	-0.055917	0.00478955	260	177	48	80	4.94889e-05	1.65945e-05	0	0	312	256	49	78	-0.346899	-0.792067	-0.432748	0.418641	314	245	40	65	10.0033	10.9693	723.985
307	223	53	89	3.76114e-06	-1.03892e-05	5.17542e-07	1.04998e-06	323	262	18	31	0.000184738	0.000382828	0.00352505	-0.000828476	257	178	48	80	-2.72281e-05	5.63629e-06	0	0	312	255	49	78	-0.338306	-0.930756	-0.290231	0.23031	314	245	40	66	10.0028	10.8921	1004.71
308	224	54	90	1.19789e-05	-1.8607e-05	1.54476e-06	3.10442e-06	323	262	19	31	-2.8945e-06	5.77707e-06	0.000966211	-3.47243e-05	252	179	48	80	-0.000142382	5.6341e-06	0	0	311	254	49	78	-0.216561	-0.727409	-0.156736	0.442893	314	245	40	65	10.0025	10.9624	1512.65
308	224	54	90	-3.47728e-07	1.93738e-06	3.93277e-09	2.27667e-08	323	261	18	32	-1.00424e-05	-8.51871e-06	-0.000168517	2.22355e-05	249	179	48	80	-0.000125942	-5.32413e-06	0	0	311	254	49	79	-0.102636	-0.176172	-0.0633153	0.352847	314	244	39	65	10.0026	11.0399	1956.25
307	224	53	89	-1.26743e-05	1.01551e-05	-1.53689e-06	-3.05889e-06	323	261	18	32	7.82734e-06	9.35102e-06	-7.35464e-06	-1.66531e-06	246	177	48	80	2.20568e-05	1.11172e-05	0	0	311	254	49	79	-0.0312261	0.0801984	-0.010676	0.552741	314	244	40	66	10.0027	11.2063	2530.19
